146.185.69.58: 1.9250722284508337: 
144.217.56.141: 2.096748442279164: 
163.172.179.129: 0: 
213.109.56.220: 1.3305636056111674: 
89.234.182.176: 1.8109426643153888: 
194.42.108.5: 3.614390975584677: 
69.30.215.42: 1.6658427781985992: 
176.9.102.35: 1.7351099411002397: 
67.205.137.40: 2.107068856117388: 
164.132.226.30: 3.2657136434786365: 
212.47.239.151: 2.7956455447463737: 
94.23.1.164: 1.6522847652635981: 
95.71.126.230: 2.373206319223138: 
98.115.57.155: 3.324415628375327: 
38.229.70.52: 1.2848905052933588: 
85.214.212.153: 2.109695563682486: 
37.187.96.78: 2.7885454941092522: 
104.206.237.24: 2.1108781691255016: 
188.243.225.14: 2.5113680362214215: 
163.172.152.237: 2.1753976056061797: 
84.2.34.74: 2.7763701828096496: 
185.34.33.2: 0: 
162.247.73.195: 4.069047538076973: 
188.120.234.26: 3.6347602249785025: 
178.62.107.194: 0.4173714100495641: 
93.115.95.205: 0: 
104.236.101.108: 3.455612474329576: 
18.248.2.85: 0: 
171.25.193.20: 0: 
18.181.5.37: 2.605047599153356: 
155.133.64.203: 0: 
85.220.190.246: 2.9007371297163536: 
104.200.20.46: 0: 
50.7.151.47: 2.142030698273147: 
46.101.100.94: 2.626300532518719: 
50.7.74.173: 2.6120329557137727: 
62.251.89.74: 3.8773108754841425: 
23.239.27.28: 3.5625776376580887: 
195.154.163.119: 1.6039802922033022: 
88.193.129.197: 3.5158803323524808: 
85.14.249.247: 2.8618462934058537: 
62.210.36.46: 2.0124886912392914: 
51.15.48.254: 2.0541295206072467: 
108.252.225.193: 3.527479565842251: 
208.113.165.162: 2.4121927311631115: 
46.28.110.244: 2.882521901282912: 
71.19.144.184: 2.4834666326825667: 
104.236.141.156: 0: 
88.198.207.222: 2.4545495447395456: 
188.240.208.219: 3.3476498178187764: 
146.255.170.244: 2.0354522762494462: 
195.154.241.125: 2.3037286319994026: 
51.15.60.102: 2.807444095790531: 
45.76.92.117: 3.2970213384691998: 
138.201.211.234: 1.1212108372379248: 
178.78.213.214: 2.3903867974101356: 
144.76.105.169: 2.225578003057606: 
162.243.200.157: 2.6045402255439294: 
104.129.16.86: 0.8667442509702779: 
158.69.205.215: 4.439627672693724: 
78.46.221.48: 2.5250917706733325: 
83.254.93.78: 3.609059049695516: 
51.255.44.183: 1.8532642574274394: 
51.15.56.11: 0: 
178.62.66.18: 0.6401506437273408: 
185.15.72.62: 2.291543057190254: 
138.201.149.20: 1.473338645482464: 
192.52.167.71: 0.8322532584588261: 
5.39.33.178: 1.452981537911924: 
91.122.100.13: 1.3277819100930854: 
163.172.131.192: 3.216460259632468: 
93.123.90.13: 1.6614274061453098: 
95.128.43.164: 0: 
5.196.66.162: 0: 
144.217.56.135: 2.460399657697155: 
37.230.119.37: 4.105989983755741: 
5.135.199.13: 1.6709099641278946: 
193.124.191.59: 1.0333467857424472: 
185.86.149.85: 1.9805211283758604: 
89.207.129.150: 1.752628591250795: 
37.187.16.175: 3.027400970507697: 
51.15.128.190: 2.8100874748490687: 
199.15.250.210: 1.9400201771569443: 
84.53.247.169: 1.4960718582742583: 
38.229.70.61: 1.5925811679811546: 
51.15.72.53: 0: 
104.168.87.167: 3.617348061395789: 
185.72.66.137: 3.173947383613679: 
93.115.95.38: 2.178343498656848: 
62.216.54.29: 1.7077951140374346: 
78.47.224.219: 3.6915116823717455: 
217.182.75.36: 3.8386066629336355: 
104.236.164.161: 0.7573637007903825: 
79.98.108.57: 2.087195534537448: 
51.15.72.230: 3.017774700139262: 
51.254.120.82: 1.7231996509971654: 
129.242.219.85: 3.2835662175357156: 
78.193.40.205: 3.2386755849740734: 
92.222.4.102: 2.8415222931814457: 
89.163.141.116: 1.6470527947972835: 
94.198.100.19: 2.002878301030985: 
109.73.50.56: 3.002038523797352: 
37.187.98.185: 3.9440386290997482: 
78.47.18.110: 2.8788263632502673: 
37.187.115.47: 3.170672661254362: 
91.220.220.5: 2.110291447534382: 
62.210.125.130: 1.7024689843473095: 
81.7.16.18: 2.362318198150566: 
185.21.217.29: 1.9764739706967551: 
185.104.120.4: 0: 
88.99.162.199: 1.8006118056959721: 
93.115.95.204: 0: 
149.202.238.204: 0: 
178.249.167.2: 2.087658579939051: 
165.227.135.224: 1.2275715967946934: 
185.96.180.164: 1.1367783430782201: 
185.35.138.92: 4.2316159865088245: 
204.27.63.234: 1.4745195623321485: 
198.96.155.3: 0: 
145.220.0.15: 1.4948987172199049: 
176.121.10.52: 0: 
162.247.75.118: 1.7697805625098568: 
95.130.9.210: 0: 
216.218.134.12: 0: 
216.127.187.29: 2.2164872132190867: 
50.7.74.171: 2.9296656055303987: 
37.187.22.131: 2.67643956737855: 
51.15.78.0: 2.0541295206072467: 
178.16.208.60: 1.7646392004638642: 
204.9.50.25: 0.9175683643085206: 
80.67.172.162: 0: 
213.32.55.195: 3.068598420714958: 
51.15.166.221: 2.878864180717525: 
51.15.73.133: 2.8207405039306175: 
209.44.114.178: 3.1495581728154: 
51.15.37.97: 1.7226238471116928: 
162.247.72.201: 0: 
217.160.15.247: 3.2766584534383987: 
107.181.174.84: 0: 
172.10.235.73: 3.4245222817292444: 
162.220.246.230: 0: 
155.254.49.178: 0.9109980457582428: 
51.15.62.146: 0: 
46.4.125.2: 2.091138574955648: 
146.185.177.103: 0: 
81.218.91.154: 3.8039966584462532: 
51.15.40.233: 0: 
81.17.17.130: 3.0427305810576017: 
93.115.95.207: 0: 
134.130.181.49: 1.9760849419664916: 
162.247.73.204: 0: 
109.87.25.148: 3.4052847364442704: 
86.107.110.143: 3.7757691035448677: 
136.243.243.6: 2.3245778100251604: 
23.254.166.222: 3.3879032592118454: 
51.15.44.54: 2.0541295206072467: 
80.229.152.228: 2.8347990920961923: 
46.28.110.219: 2.888816474410537: 
37.233.99.157: 3.2544033696647667: 
79.172.193.32: 0.6256928074044539: 
185.11.167.4: 0: 
158.58.173.78: 1.9539054474153166: 
87.121.98.208: 2.03617406466793: 
146.255.170.243: 2.0182172098754254: 
94.23.17.58: 3.5078828919715397: 
81.218.109.195: 3.9364012482585795: 
89.34.237.106: 2.9084479865372663: 
193.201.225.45: 0: 
192.42.113.102: 0.8735892695395235: 
51.15.57.79: 0: 
217.172.190.251: 1.273825758220717: 
81.225.209.79: 3.1396140157296504: 
178.62.86.96: 0.6945247194738491: 
142.44.166.241: 0: 
37.157.196.142: 2.6269079653379754: 
46.101.9.51: 0.67285882719608: 
95.85.34.137: 3.3145737442020753: 
104.236.224.225: 1.861846498370556: 
46.23.72.81: 2.0527728196026302: 
193.70.43.76: 1.825292911235656: 
51.15.66.23: 2.348854669642602: 
185.61.148.121: 2.010038652005001: 
91.121.230.216: 1.4484911903764877: 
94.130.32.101: 1.58299600682135: 
82.146.47.17: 3.7122308085020332: 
95.141.44.66: 2.301084498417353: 
188.166.87.161: 2.9544444345799215: 
84.19.181.25: 0: 
95.91.10.102: 1.9653278503028548: 
173.255.250.231: 3.01566176633056: 
46.165.230.5: 0: 
73.254.86.153: 3.738114815899459: 
87.73.84.77: 2.1934215740376404: 
85.195.235.156: 1.499158871870939: 
212.47.229.138: 1.7024689843473095: 
46.29.248.136: 4.231731694471878: 
83.212.96.206: 3.2210685748076218: 
213.124.169.159: 3.4208059706723644: 
185.208.210.20: 2.196206465436667: 
193.11.114.43: 1.5897261098904651: 
167.114.35.107: 1.4396070391804732: 
163.172.151.234: 2.0758244398481938: 
147.175.187.180: 2.6125377861119126: 
198.167.223.44: 3.8312976448152787: 
185.180.231.76: 1.3484577613615063: 
185.100.85.112: 0: 
188.118.217.236: 1.9475859572180383: 
173.255.218.106: 3.8114566863343744: 
8.37.14.220: 2.208076178464409: 
51.15.67.77: 1.8824965140200118: 
212.47.227.71: 1.8251604618294661: 
95.85.8.226: 2.1469976171447898: 
192.99.13.48: 2.3228632196512673: 
46.101.141.15: 1.4481834536546867: 
93.180.156.84: 2.0685556759992747: 
78.94.74.236: 3.4815915608840893: 
137.74.169.241: 0: 
67.227.198.183: 2.0349830696735487: 
46.105.63.44: 1.4073908938195836: 
192.99.69.17: 2.434422177963362: 
144.76.71.91: 1.7111978938525316: 
128.199.55.207: 3.879596162713731: 
185.100.85.191: 0: 
185.125.217.66: 1.100801684381295: 
195.154.237.147: 1.1324466520771697: 
37.187.4.8: 3.0409270912106945: 
141.255.166.189: 2.61046839183031: 
213.32.21.55: 2.1550913170136283: 
194.67.214.123: 0.9696848966084046: 
192.36.38.33: 1.1841776838202516: 
37.221.171.236: 2.991608935745996: 
91.134.232.48: 0: 
212.83.154.33: 2.2820643544677535: 
193.11.114.46: 1.7484556788361212: 
51.15.61.7: 3.957286108060399: 
51.15.72.209: 2.3965900458511338: 
69.164.216.82: 3.498806586134917: 
107.181.166.11: 1.885613544693812: 
81.7.16.59: 3.9239610835721552: 
79.140.41.13: 3.2091523866863043: 
164.132.77.175: 1.686828520831754: 
51.15.46.15: 2.2820643544677535: 
37.187.176.64: 2.417540077098774: 
81.7.19.110: 2.1349877693716355: 
91.228.53.86: 1.9639589030361242: 
145.239.74.47: 0: 
78.142.19.11: 1.4842562743714174: 
100.38.8.218: 3.32680484748499: 
38.229.79.2: 1.0519112894331866: 
149.56.201.79: 0: 
89.163.141.115: 1.9975964824823798: 
163.172.53.84: 1.4560635387717016: 
178.254.20.134: 2.7101134848475983: 
185.163.1.11: 0: 
185.61.149.247: 1.8631550658370875: 
94.31.53.203: 2.6227065523335344: 
95.141.44.61: 2.7009023224701747: 
163.172.141.10: 2.7561709057576764: 
188.27.74.116: 3.1985289375270938: 
136.243.174.97: 3.2359335790091: 
45.62.243.158: 1.876122957555096: 
51.15.130.76: 2.525568762235988: 
138.197.202.35: 0.7486549060782351: 
163.172.157.213: 2.289222090458979: 
198.50.200.131: 0: 
89.40.125.73: 1.8364475581612114: 
206.55.74.1: 3.2914946000826766: 
51.15.34.125: 1.809577777254892: 
138.68.150.168: 0.7481876015849322: 
64.124.32.84: 0: 
79.137.112.5: 2.179690689743154: 
188.40.248.57: 3.365451224345004: 
192.160.102.169: 0: 
162.243.255.143: 1.6879546724075176: 
95.141.46.172: 2.088409793134585: 
194.104.0.100: 2.488280557126381: 
5.9.62.76: 1.2426474591959482: 
185.16.200.176: 0: 
178.62.201.15: 2.5217905492886787: 
51.15.141.220: 0: 
163.172.209.161: 1.5334468571719087: 
161.53.160.104: 3.7597837701165178: 
179.43.169.14: 3.9479729361654643: 
185.37.145.44: 3.874826330602526: 
149.202.220.80: 2.053018527228666: 
46.4.122.173: 3.0263608808854707: 
51.15.70.13: 0: 
104.244.72.200: 1.410285207514447: 
91.121.67.146: 2.8374374976503005: 
163.172.140.123: 0: 
107.181.187.199: 1.3436351981176615: 
51.15.52.120: 2.1508118932279205: 
178.33.183.251: 1.6615336823138298: 
104.223.123.101: 0: 
184.100.144.118: 2.9341701591025213: 
149.56.141.138: 1.917065831750837: 
212.51.156.78: 2.1908136501728803: 
171.25.193.25: 0: 
178.62.20.117: 0.6186387677570477: 
46.165.254.40: 1.485793121458735: 
87.106.249.118: 1.9966707716551053: 
5.135.176.38: 3.0989500967831707: 
5.39.91.86: 2.509275161695351: 
144.217.94.195: 0: 
138.68.69.69: 2.0546405286537657: 
81.7.14.31: 2.8598563342468526: 
178.16.208.56: 2.3565846508307433: 
93.95.227.245: 2.3255303181513614: 
81.2.209.10: 1.9803590182067772: 
62.78.245.129: 2.218948707183686: 
213.239.216.222: 2.1024567959905243: 
5.9.181.162: 2.2665397640065854: 
212.129.34.13: 4.198497862063748: 
51.15.50.133: 0: 
185.86.149.230: 1.823497784285889: 
31.171.155.103: 3.0736188647721057: 
185.100.85.101: 0: 
185.63.253.130: 2.9696537072547167: 
163.172.201.62: 1.8867691428359479: 
162.221.202.230: 2.9377338222293967: 
198.27.86.221: 1.6492295807495727: 
51.254.136.195: 1.9260043140866714: 
91.250.84.156: 2.795027491618717: 
185.153.198.118: 3.941463164723516: 
193.11.164.243: 1.3386907134303647: 
79.137.33.131: 1.9917483730732715: 
158.69.63.16: 1.7334586365453417: 
195.219.163.68: 0: 
212.83.165.54: 1.5954449752029598: 
91.121.84.137: 2.6216317969629235: 
176.36.117.185: 0: 
104.236.234.178: 2.5012191123582586: 
89.191.217.1: 3.547700917764674: 
104.218.63.73: 0: 
37.153.1.10: 2.070460385581142: 
217.23.9.246: 1.9142912371778071: 
185.180.231.20: 1.3924889935280973: 
82.223.21.74: 1.882351719558771: 
165.227.94.10: 1.8351893896663578: 
31.185.104.19: 0: 
163.172.94.119: 1.7294739970983672: 
62.210.244.146: 1.7539914732165738: 
93.115.95.201: 0: 
5.135.43.38: 2.3928394950849947: 
163.172.136.101: 0: 
81.169.138.51: 2.9427287247130183: 
193.171.202.146: 0: 
176.31.255.189: 2.205073724925055: 
91.121.85.130: 1.8411443173561788: 
185.4.92.67: 2.3188671956714244: 
159.203.38.250: 0.7716287579985758: 
87.118.115.176: 0: 
185.189.14.42: 1.4510402374265057: 
89.163.225.6: 2.3017626559527566: 
77.73.64.51: 1.774881353676461: 
207.154.226.140: 2.3791468094569352: 
188.166.50.222: 1.6229821798527282: 
5.189.139.38: 2.2420095985545063: 
176.31.180.157: 0: 
81.7.11.142: 1.8317548114734028: 
148.251.214.53: 2.1555110675884253: 
85.145.173.31: 0.8990303561718925: 
213.21.26.171: 3.5461315377926903: 
91.219.239.92: 2.8454966719492147: 
141.255.166.150: 2.3961849338544305: 
107.150.7.83: 0.9031414253035953: 
